City_ID,City,Country,Max Temp,Weather Descp,Lat,Lng,Hotel Name
376,Tarpon Springs,US,87.01,broken clouds,28.15,-82.76,"Innisbrook, A Salamander Golf and Spa Resort"
377,Lewistown,US,81.0,clear sky,40.6,-77.57,Quality Inn & Suites
378,Brigantine,US,81.0,clear sky,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
379,Teluknaga,ID,81.0,few clouds,-6.1,106.64,Bale Ocasa hotel
380,Capao Bonito,BR,74.89,few clouds,-24.01,-48.35,HOTEL PASSARIM
381,Gasa,PS,79.0,clear sky,31.5,34.47,رابطة الفنانين الفلسطينيين
382,Royan,FR,64.4,broken clouds,45.63,-1.03,Hôtel Cordouan Thalassothérapie et Spa - Royan
383,Fare,PF,79.36,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
384,Constitucion,CL,61.38,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
385,Zhanaozen,KZ,46.08,broken clouds,43.3,52.8,K.korabay 28A
388,Hoi An,VN,73.4,broken clouds,15.88,108.33,Belle Maison Hadana Hoi An managed by H&K Hospitality
390,Acapulco,MX,87.8,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
391,Jogighopa,IN,75.49,light rain,26.23,90.58,DRDA Training center
392,Saint Austell,GB,55.0,broken clouds,50.34,-4.77,The Cornwall Hotel & Spa
395,Lucea,JM,80.01,light intensity shower rain,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
396,Hamilton,US,79.0,scattered clouds,39.18,-84.53,Six Acres Bed & Breakfast
397,La Rioja,ES,64.4,few clouds,42.25,-2.5,Casa Concejos
398,Domoni,KM,78.57,scattered clouds,-12.26,44.53,Loulou
399,Ambon,ID,75.2,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
400,Whitewater,US,48.0,overcast clouds,42.83,-88.73,Baymont by Wyndham Whitewater
401,Sao Jose Da Coroa Grande,BR,81.84,scattered clouds,-8.9,-35.15,Crôa Mares Hotel
402,Wanning,CN,71.73,overcast clouds,18.8,110.4,Paradise Hotel
404,Korla,CN,46.62,clear sky,41.76,86.15,Gulisitan Hotel
405,Zarubino,RU,43.59,overcast clouds,42.63,131.09,"Okean, Baza Otdykha"
406,Coquimbo,CL,59.0,scattered clouds,-29.95,-71.34,Hotel San Juan
407,Jasidih,IN,74.55,few clouds,24.52,86.65,Alkapuri Guest House
409,Tefe,BR,87.8,scattered clouds,-3.35,-64.71,Aracati Hotel
410,Keti Bandar,PK,82.29,scattered clouds,24.14,67.45,Haji laloo memon house
411,Sinnamary,GF,87.3,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
413,Aguada De Pasajeros,CU,87.8,shower rain,22.39,-80.85,Soles de Marti
414,Banda Aceh,ID,81.82,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
417,Hobyo,SO,80.29,broken clouds,5.35,48.53,Osmani Hotel
418,Taunggyi,MM,62.17,light rain,20.78,97.03,True Treasure Hotel
420,Cavalcante,BR,88.12,broken clouds,-13.8,-47.46,Pousada Vila dos Ipês
423,Waddan,LY,68.5,clear sky,29.16,16.14,محل الشريف محمد العايب
424,Ixtapa,MX,87.8,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
425,Eagle,US,46.99,clear sky,43.7,-116.35,SpringHill Suites by Marriott Boise West/Eagle
426,Manadhoo,MV,81.64,light rain,5.77,73.38,Vevu Guesthouse
427,Andijon,UZ,51.8,broken clouds,40.78,72.34,Bog'ishamol
428,Bonavista,CA,60.01,overcast clouds,48.65,-53.11,Abbott's Bed & Breakfast
430,Araceli,PH,83.19,moderate rain,10.55,119.99,JBryan Traveler's Inn
431,Kaabong,UG,73.62,broken clouds,3.48,34.15,Rock Motel Ltd
433,Zhangye,CN,48.27,clear sky,38.93,100.45,Zhangye Lvzhou Holiday Inn
434,Marsh Harbour,BS,81.07,broken clouds,26.54,-77.06,Abaco Beach Resort
435,Sechura,PE,77.18,few clouds,-5.56,-80.82,Hospedaje Costa Bella
436,Borzna,UA,52.88,broken clouds,51.25,32.43,Готель VIRA
437,Karla,EE,53.6,overcast clouds,59.37,24.93,River Villa
439,Bandarbeyla,SO,79.92,broken clouds,9.49,50.81,REER XOOSHLE GROUP
440,Ullapool,GB,46.99,overcast clouds,57.9,-5.16,Argyll Hotel
441,Pisco,PE,71.6,clear sky,-13.7,-76.22,Hostal San Isidro Oficial
442,Mombetsu,JP,59.0,light rain,44.35,143.35,Okhotsk Palace Hotel
443,Yining,CN,53.98,light rain,29.04,114.56,Xiushui Hotel
444,Mitsamiouli,KM,80.94,overcast clouds,-11.38,43.28,Foyer ADM
445,Greifswald,DE,55.99,clear sky,54.1,13.38,VCH - Hotel Greifswald
449,Olafsvik,IS,41.5,light rain,64.89,-23.71,Hotel Olafsvik
450,Carutapera,BR,83.71,light rain,-1.2,-46.02,Lidera
452,Xianyang,CN,44.6,clear sky,34.34,108.7,铁路大厦
